Line_ID,Line_name,2012,2013,2014,2015,2016,2017,2018
1,КС Ямбургская – КС Правохеттинская,173.0,178.0,171.7,170.7,169.9,166.3,168.3
2,КС Пуровская – КС Правохеттинская,90.8,88.9,91.6,85.3,87.2,84.5,86.4
3,КС Правохеттинская – КС Сосновская,354.0,353.7,354.6,354.5,339.2,340.1,351.2
4,КС Сосновская – КС Таежная,324.2,329.9,330.8,335.4,329.6,329.0,319.6
